97
bistratifiedcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
bistratifiedcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
bistratifiedcell bistratifiedcell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.287000 2.670000 -60.000000      
bistratifiedcell cckcell MyExp2Sid dendrite_list distance(x)>-1 distance(x)<50  0.432000 4.490000 -60.000000      
bistratifiedcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.432000 4.490000 -60.000000      
bistratifiedcell ivycell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.900000 3.100000 -60.000000      
bistratifiedcell ngfcell ExpGABAab apical_list distance(x)>200 distance(x)<1000     8.000000 39.000000 -60.000000 225.000000 250.000000 -90.000000
bistratifiedcell olmcell MyExp2Sid apical_list distance(x)>200 distance(x)<1000  0.600000 15.000000 -60.000000      
bistratifiedcell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.110000 0.250000 0.000000      
bistratifiedcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.180000 0.450000 -60.000000      
bistratifiedcell scacell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.419000 4.990000 -60.000000      
cckcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
cckcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
cckcell bistratifiedcell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.287000 2.670000 -60.000000      
cckcell cckcell MyExp2Sid dendrite_list distance(x)>-1 distance(x)<50  0.432000 4.490000 -60.000000      
cckcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.432000 4.490000 -60.000000      
cckcell ivycell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.900000 3.100000 -60.000000      
cckcell ngfcell ExpGABAab apical_list distance(x)>200 distance(x)<1000     8.000000 39.000000 -60.000000 225.000000 250.000000 -90.000000
cckcell olmcell MyExp2Sid apical_list distance(x)>200 distance(x)<1000  0.728000 20.200000 -60.000000      
cckcell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.300000 0.600000 0.000000      
cckcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.287000 2.670000 -60.000000      
cckcell scacell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.419000 4.990000 -60.000000      
ivycell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
ivycell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
ivycell bistratifiedcell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.287000 2.670000 -60.000000      
ivycell cckcell MyExp2Sid dendrite_list distance(x)>-1 distance(x)<50  0.432000 4.490000 -60.000000      
ivycell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.432000 4.490000 -60.000000      
ivycell ivycell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.900000 3.100000 -60.000000      
ivycell ngfcell ExpGABAab apical_list distance(x)>200 distance(x)<1000     8.000000 39.000000 -60.000000 225.000000 250.000000 -90.000000
ivycell olmcell MyExp2Sid apical_list distance(x)>200 distance(x)<1000  0.250000 7.500000 -60.000000      
ivycell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.300000 0.600000 0.000000      
ivycell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.287000 2.670000 -60.000000      
ivycell scacell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.419000 4.990000 -60.000000      
ngfcell ca3cell MyExp2Sid dendrite_list y3d(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
ngfcell eccell MyExp2Sid dendrite_list distance(x)>-1 distance(x)<1000  2.000000 6.300000 0.000000      
ngfcell bistratifiedcell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.287000 2.670000 -60.000000      
ngfcell cckcell MyExp2Sid dendrite_list distance(x)>-1 distance(x)<50  0.432000 4.490000 -60.000000      
ngfcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.432000 4.490000 -60.000000      
ngfcell ivycell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.900000 3.100000 -60.000000      
ngfcell ngfcell ExpGABAab apical_list distance(x)>200 distance(x)<1000     3.100000 42.000000 -60.000000 225.000000 250.000000 -90.000000
ngfcell olmcell MyExp2Sid apical_list distance(x)>200 distance(x)<1000  1.300000 10.200000 -60.000000      
ngfcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.287000 2.670000 -60.000000      
ngfcell scacell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  0.419000 4.990000 -60.000000      
olmcell ca3cell MyExp2Sid dendrite_list distance(x)>10 distance(x)<1000  2.000000 4.000000 0.000000      
olmcell bistratifiedcell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  1.000000 4.000000 -60.000000      
