91
bistratifiedcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
bistratifiedcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
bistratifiedcell bistratifiedcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell ivycell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell ngfcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell olmcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.070000 0.200000 0.000000      
bistratifiedcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
bistratifiedcell scacell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
cckcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
cckcell bistratifiedcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell ivycell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell ngfcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell olmcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.070000 0.200000 0.000000      
cckcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
cckcell scacell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
ivycell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
ivycell bistratifiedcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell ivycell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell ngfcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell olmcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.070000 0.200000 0.000000      
ivycell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ivycell scacell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
ngfcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
ngfcell bistratifiedcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell ivycell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell ngfcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell olmcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell pyramidalcell MyExp2Sid apical_list distance(x)>100 distance(x)<1000  0.070000 0.200000 0.000000      
ngfcell pvbasketcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
ngfcell scacell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
olmcell ca3cell MyExp2Sid dendrite_list distance(x)>50 distance(x)<200  2.000000 6.300000 0.000000      
olmcell eccell MyExp2Sid dendrite_list distance(x)>200 distance(x)<1000  2.000000 6.300000 0.000000      
olmcell bistratifiedcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
olmcell cckcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
olmcell ivycell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
olmcell ngfcell MyExp2Sid soma_list distance(x)>-1 distance(x)<1000  0.080000 4.800000 -60.000000      
